epoch,seed,epoch_time_s,peak_vram_mb,alpha_e,alpha_p,train_loss,train_loss_edos,train_loss_phdos,train_loss_shape_e,train_loss_shape_p,train_loss_scale_e,train_loss_scale_p,train_loss_gap,train_loss_sum,mae_edos_mean,mae_edos_std,mae_edos_median,mse_edos_mean,mse_edos_std,r2_edos_mean,r2_edos_std,r2_edos_median,fail_rate_edos,mae_phdos_mean,mae_phdos_std,mae_phdos_median,mse_phdos_mean,mse_phdos_std,r2_phdos_mean,r2_phdos_std,r2_phdos_median,fail_rate_phdos,balanced_score
1,42,239.14097785949707,7978.86474609375,0.0,0.0,0.0450598292551827,0.0367836163570863,0.0082762128980964,0.0,0.0,0.0,0.0,0.0,0.0,3.4390992112653267,4.318086366078554,2.3073670864105225,53.77187480614474,328.35368668312657,-0.0720911319091236,0.4654639045052666,0.0279353260993957,47.23455793298344,0.0082722643595352,0.0089158540217773,0.0054537984542548,0.0009480010619525,0.0031275089366294,0.4401274409609838,0.3640403964618093,0.5359554886817932,9.245054501413,1.1564104424323889
2,42,237.15710067749023,7976.70849609375,0.0,0.0,0.0289236880880461,0.0240242446266245,0.0048994434580795,0.0,0.0,0.0,0.0,0.0,0.0,3.159529671030849,3.825834779187111,2.098090648651123,48.14404781261906,263.6881644678138,0.0451972750728054,0.3955636111324173,0.1300617456436157,33.30641905530884,0.0061721632840097,0.007325475345427,0.0039477366954088,0.0006237527533942,0.0022157198514838,0.6275427912722492,0.2686405401819026,0.699133038520813,3.229713362939039,1.051019192673266
3,42,236.9423530101776,7977.45849609375,0.0,0.0,0.0238653825212751,0.0194122955749669,0.0044530869099167,0.0,0.0,0.0,0.0,0.0,0.0,2.973186681518571,3.722974524976889,1.968737363815308,45.8188153338068,247.06686267598795,0.0820895444976258,0.6521099867144389,0.2177506685256958,27.412192167945094,0.0060219074914381,0.0076680300540525,0.0038049647118896,0.0006336453651332,0.0023856181660884,0.6152589238599563,0.3259404517968396,0.7028287053108215,4.763827210335083,0.9862711642635986
4,42,236.79495000839236,7978.20849609375,0.0,0.0,0.0211533317743448,0.0170002961917475,0.0041530355629162,0.0,0.0,0.0,0.0,0.0,0.0,2.813457161088865,3.3401845439352456,1.8124816417694087,40.72607079527185,169.76603777327782,0.1740708144913289,0.5298252637991119,0.2814188599586487,21.31610819539766,0.0060333493530615,0.0071255807291959,0.0038844156078994,0.0006172969186476,0.002130613637697,0.636181974271444,0.298629100365712,0.7125270366668701,3.714170367379895,0.9081830286886544
5,42,237.30911350250244,7977.86474609375,0.0,0.0,0.0198201567552496,0.0158409013767894,0.0039792554118808,0.0,0.0,0.0,0.0,0.0,0.0,2.985759730855748,3.5591138969040883,1.896251201629639,42.08296692091765,161.23702775238763,0.1020260935692138,0.6738445078171067,0.2647112011909485,26.887363746467503,0.0050937914462359,0.0063437369928782,0.003158435691148,0.0005553448980442,0.0021420257305376,0.6827396109164796,0.2521092623040221,0.7428551912307739,2.301170771094065,0.9497048186603934
6,42,242.34293055534363,7972.8046875,0.0,0.0,0.018987224801210314,0.01515278728467901,0.0038344375239581204,0.0,0.0,0.0,0.0,0.0,0.0,3.072774202224103,3.9854050155560405,1.8910441398620605,44.09037755394139,203.27393666684415,0.1767997614645313,0.5652888440393781,0.2932842969894409,20.750908356883325,0.005241055262926345,0.006678344706639723,0.003209893126040697,0.0005597985587441584,0.002026820294332353,0.6632708097880629,0.2831073459841527,0.7422346472740173,3.471941865159467,0.9471270164940506
7,42,240.034912109375,7972.2109375,0.0,0.0,0.018035083783395363,0.014392022031583664,0.0036430617124495798,0.0,0.0,0.0,0.0,0.0,0.0,2.5297514976159814,2.9807750656037273,1.6076209545135498,35.37007956821502,136.06344083666332,0.26013172921703187,0.4295272658465816,0.3431010842323303,15.785224061364552,0.00493485477676517,0.006267116795512417,0.003135246690362692,0.0005127954059855449,0.002065919071172445,0.6919554809336226,0.27589234748948493,0.771538257598877,2.4626564392410173,0.8053781006019562
8,42,240.35203456878662,7971.3046875,0.0,0.0,0.017220343543332444,0.013783667379161387,0.0034366761318644127,0.0,0.0,0.0,0.0,0.0,0.0,2.564994614721728,3.0936989507560204,1.6382373571395874,36.19754067958531,146.4227175759264,0.24156169716658302,0.5937881880059549,0.35586613416671753,17.036737989503433,0.004791402031181707,0.006271183009116889,0.002928953617811203,0.0004866598057205977,0.002043132689271403,0.7143545937384143,0.25970989403548433,0.7921919822692871,2.3819136051675414,0.8205831553786993
9,42,240.1274003982544,7971.2109375,0.0,0.0,0.01648547348716375,0.013242236016232051,0.0032432374798438764,0.0,0.0,0.0,0.0,0.0,0.0,2.434596206634924,2.9452214455377286,1.5432569980621338,34.1594478413973,139.26868532512296,0.2922435886781929,0.4622282437128947,0.36990636587142944,13.24182478805006,0.00455210519912428,0.006023471059557242,0.002814461477100849,0.0004772486701234705,0.0020118197879241593,0.7160301833177797,0.2628154819863703,0.794022798538208,2.5030278562777553,0.7730357297696173
10,42,240.35209774971008,7970.3046875,0.0,0.0,0.015944725674899383,0.012863755142954928,0.003080970516348142,0.0,0.0,0.0,0.0,0.0,0.0,2.4788971997084617,3.0131537133493254,1.5642496347427368,34.71191900820826,145.348405607663,0.27990909293143557,0.5256947448074712,0.38469910621643066,15.260395639886958,0.004549289634748536,0.00610033785248822,0.002759038470685482,0.00045046773435065404,0.001924937662561736,0.7302493971829266,0.2515410774313988,0.8066352605819702,2.018570851836899,0.7835043366067111
