epoch,seed,epoch_time_s,peak_vram_mb,alpha_e,alpha_p,train_loss,train_loss_edos,train_loss_phdos,train_loss_shape_e,train_loss_shape_p,train_loss_scale_e,train_loss_scale_p,train_loss_gap,train_loss_sum,mae_edos_mean,mae_edos_std,mae_edos_median,mse_edos_mean,mse_edos_std,r2_edos_mean,r2_edos_std,r2_edos_median,fail_rate_edos,mae_phdos_mean,mae_phdos_std,mae_phdos_median,mse_phdos_mean,mse_phdos_std,r2_phdos_mean,r2_phdos_std,r2_phdos_median,fail_rate_phdos,balanced_score
1,42,99.95104050636292,6979.84912109375,0.0,0.0,0.0861944519526409,0.0566037765788267,0.0295906747411665,0.0,0.0,0.0,0.0,0.0,0.0,4.792131103689353,5.79608592860011,3.2253313064575195,82.23273454241884,384.02596778072734,-0.1001569574806135,0.6242227921029464,0.0345308780670166,46.31655725747629,0.0226897049442553,0.0179709458817663,0.0186633747071027,0.0030701284503153,0.0063305372332887,0.4055070787516064,0.3410712963384729,0.4797438383102417,9.77388767323122,1.6219973405823112
3,42,103.05165934562683,6964.4970703125,0.0,0.0,0.03395145308801975,0.020857380713952527,0.01309407239035858,0.0,0.0,0.0,0.0,0.0,0.0,3.359800405599269,3.676432855711382,2.27992844581604,55.266762566458596,198.21711868195223,0.22503677343122286,0.37141761465437473,0.28802937269210815,18.818380743982495,0.021110061841832107,0.018827980097308617,0.01677999272942543,0.0025997064580367394,0.006952662521994133,0.47978042808438115,0.3922054969761095,0.5812584161758423,9.263311451495259,1.1483542192727327
4,42,100.80359721183777,6963.9970703125,0.0,0.0,0.030007482422162772,0.017601689065836434,0.012405793372617692,0.0,0.0,0.0,0.0,0.0,0.0,3.4070922127829077,3.5633358299211073,2.254607677459717,49.541938369339675,151.77912630128657,0.27981593154974005,0.35711188358505397,0.33268076181411743,13.49380014587892,0.028019220464646187,0.02228036502804788,0.023461587727069855,0.002814291193748528,0.008052204104357148,0.4419016914590269,0.4403626017252478,0.5661019086837769,11.889132020423048,1.1390346325933933
5,42,100.90139937400818,6964.2470703125,0.0,0.0,0.02800031705778472,0.016134630522144953,0.0118656865492159,0.0,0.0,0.0,0.0,0.0,0.0,3.2897392680649773,3.6114265638179193,2.1797780990600586,49.33032707015988,158.09140351125455,0.29716495390272246,0.4410893127905758,0.39237725734710693,14.87964989059081,0.021375767002187882,0.019155940206418202,0.017258426174521446,0.0024763271810356647,0.007219427068636816,0.49990815628540075,0.38625658400286617,0.6066602468490601,9.62800875273523,1.09851826261729
6,42,100.93191385269165,6961.9970703125,0.0,0.0,0.02668837113061556,0.015253555659563132,0.011434815499562304,0.0,0.0,0.0,0.0,0.0,0.0,3.32216255077148,3.478117083814816,2.2006475925445557,46.00599718263154,138.31232910165082,0.3434990856179697,0.3387237448258556,0.41217130422592163,10.722100656455142,0.019803512273312163,0.016924753429593375,0.01600571908056736,0.002313151911230698,0.005798392998259727,0.525249449420723,0.3648970779399648,0.6280133724212646,8.971553610503284,1.1083266558125615
7,42,100.8818199634552,6963.2470703125,0.0,0.0,0.025684961935087125,0.014577023144648479,0.011107938823021362,0.0,0.0,0.0,0.0,0.0,0.0,3.476645995358061,3.7592592006184478,2.3207924365997314,51.28015399039237,166.67368725438752,0.27176163928687874,0.5049573712406832,0.39094775915145874,17.65134938001459,0.021875996195611338,0.019520622326813574,0.01759713515639305,0.002383142992555719,0.006793075920460189,0.5184805935356063,0.3741648586277966,0.6285231709480286,8.60685630926331,1.1691947858780622
8,42,101.07289600372314,6964.4970703125,0.0,0.0,0.024864740571979183,0.014102583311215782,0.010762157199670812,0.0,0.0,0.0,0.0,0.0,0.0,3.406693621127602,3.8363934512921407,2.2258191108703613,50.80275985067622,171.0693841211132,0.2959195917579573,0.5018580747016799,0.4088941216468811,15.827862873814732,0.019179950755756597,0.017515405133451862,0.01546340063214302,0.0023334394619437503,0.00732145795392,0.5295639307632836,0.3830693487633876,0.6430221199989319,8.60685630926331,1.1206412557512522
9,42,100.89279985427856,6962.3720703125,0.0,0.0,0.024196527871159352,0.013689745049217699,0.010506782869458112,0.0,0.0,0.0,0.0,0.0,0.0,3.326063618237828,3.529632748172063,2.1712679862976074,44.134539878468644,132.76374189443058,0.3554589151901368,0.385976254410172,0.4318607449531555,11.816192560175056,0.019188043806701218,0.01718779191246064,0.015462761744856834,0.002224836851865802,0.006629891564204516,0.555849365862854,0.3361363091650634,0.6509793996810913,6.929248723559446,1.0933653740212321
10,42,100.92860770225525,6962.9970703125,0.0,0.0,0.023645176967665684,0.013346168141996722,0.010299008860966902,0.0,0.0,0.0,0.0,0.0,0.0,2.8293155581791587,2.8646655914558075,1.928953766822815,41.2908616688885,123.78043375847982,0.3862805583892644,0.36518065270940203,0.4652954339981079,9.62800875273523,0.018870608394990662,0.017498054212658248,0.015025289729237556,0.0022637918515953552,0.0067548805797193,0.5529763720315534,0.35031371648291904,0.6480304002761841,6.929248723559446,0.9719895282760262
11,42,100.82131695747375,6962.9970703125,0.0,0.0,0.023003835687223747,0.012925304602777297,0.010078531085804062,0.0,0.0,0.0,0.0,0.0,0.0,3.061850089729267,3.1933527227496303,2.047518730163574,41.85787866475437,124.76265142229853,0.37427074173608027,0.3878148217815126,0.4562298059463501,11.597374179431071,0.02093855279547391,0.02007894510006645,0.01692931354045868,0.00239944740638283,0.00920538337688665,0.5298593712496462,0.4059402978339096,0.6532169580459595,8.242159008023341,1.0322240218520164
