epoch,seed,epoch_time_s,peak_vram_mb,alpha_e,alpha_p,train_loss,train_loss_edos,train_loss_phdos,train_loss_tv,train_loss_grad,train_loss_shape_e,train_loss_shape_p,train_loss_scale_e,train_loss_scale_p,train_loss_eta,train_loss_scalar,train_loss_gap,train_loss_sum,mae_edos_mean,mae_edos_std,mae_edos_median,mse_edos_mean,mse_edos_std,r2_edos_mean,r2_edos_std,r2_edos_median,fail_rate_edos,mae_phdos_mean,mae_phdos_std,mae_phdos_median,mse_phdos_mean,mse_phdos_std,r2_phdos_mean,r2_phdos_std,r2_phdos_median,fail_rate_phdos,balanced_score
1,42,191.20676112174988,7154.017578125,0.0,0.0,1.2262726194838174,0.5784125663785853,0.6333262162330823,0.0,0.0,0.0,0.0,0.0,0.0,0.014533836978814031,0.0,0.0,0.0,2.7178463203098886,2.788960521319961,1.8636481761932373,38.075089025811664,132.8502035147488,0.2314532495812838,0.2930090728144836,0.2596220374107361,14.74275832252486,0.013543154983744034,0.012948755388483191,0.009698394685983658,0.001243721101034646,0.0033061332576151963,0.5595246836626834,0.2608635849813171,0.6012804508209229,2.637267617812365,0.9366732854396105
2,42,189.16361260414124,7154.798828125,0.0,0.0,0.9724222479722439,0.4746493057308034,0.48732612759639055,0.0,0.0,0.0,0.0,0.0,0.0,0.010446811227812472,0.0,0.0,0.0,2.5371370512623317,2.646429234761039,1.722083330154419,35.1964207133242,118.84615040003548,0.280910951386166,0.36010527879700116,0.3271227478981018,10.376134889753567,0.012695907309037942,0.012137604390328521,0.009171053767204285,0.0011422701285836703,0.003100894687784612,0.5901512790952881,0.25627302419246284,0.64201420545578,2.9831387808041505,0.8656271919608116
3,42,189.4810872077942,7155.517578125,0.0,0.0,0.88617679267867,0.42561763091983956,0.4513546663981218,0.0,0.0,0.0,0.0,0.0,0.0,0.009204494388789957,0.0,0.0,0.0,2.484121361221527,2.6494469241010776,1.651750087738037,33.23616159814009,109.8537255021079,0.33654735995947,0.3099809886558822,0.3670560121536255,5.750108084738435,0.0123720821144681,0.012317927287698574,0.00886304397135973,0.0010920196475535714,0.0033374160960596266,0.6072829052889651,0.25758280747471674,0.661410927772522,2.3346303501945527,0.8303065658546984
4,42,189.38672828674316,7152.689453125,0.0,0.0,0.831978593320928,0.3951090429583166,0.4281949714717702,0.0,0.0,0.0,0.0,0.0,0.0,0.008674578709750731,0.0,0.0,0.0,2.3821532580078655,2.5384281580630907,1.5811923742294312,31.839505248701048,106.33535118326012,0.3574244553167687,0.31008484782926976,0.3918033838272095,5.793341980112408,0.01267448731687929,0.012259309681486889,0.009230969473719597,0.0010775751908232056,0.0031489120229430045,0.6132855025710763,0.2332575208016125,0.6554831266403198,1.9455252918287937,0.7952116718515754
5,42,189.26319479942322,7153.173828125,0.0,0.0,0.7980984791731223,0.3779496295329852,0.411853833280058,0.0,0.0,0.0,0.0,0.0,0.0,0.008295017253193591,0.0,0.0,0.0,2.343729459986226,2.517771773170547,1.5678555965423584,31.342144094860135,108.3309781760062,0.36538870776312926,0.32745380515889744,0.404458224773407,5.533938607868569,0.011810779517276515,0.011698688436251712,0.008456018753349781,0.0010716167362489885,0.0033422739253490875,0.6125867230728288,0.26074004103074444,0.6635241508483887,3.285776048421963,0.7881558076478541
6,42,189.30688500404358,7153.330078125,0.0,0.0,0.7718841328580155,0.36378048031758037,0.4000079409688966,0.0,0.0,0.0,0.0,0.0,0.0,0.008095713207721074,0.0,0.0,0.0,2.3062903344908214,2.504361703060362,1.514176368713379,30.722089215916597,105.19729840360782,0.3708867875982351,0.418311400816264,0.4225901961326599,5.490704712494596,0.01195810946333514,0.011737026027104285,0.008715955540537834,0.0010311759543930378,0.0031360801865062174,0.6282615514993152,0.24765777088665406,0.6813653707504272,2.1616947686986596,0.7614461621269584
7,42,189.17843413352966,7156.173828125,0.0,0.0,0.733030740216247,0.34682655833725234,0.3784804731862158,0.0,0.0,0.0,0.0,0.0,0.0,0.007723709696537664,0.0,0.0,0.0,2.262857335441256,2.4277084000947218,1.5187838077545166,30.38549674885936,109.64503484087811,0.3803083664969969,0.37722081336429153,0.4284244775772095,5.966277561608301,0.011537938155886149,0.011295934760346581,0.008365060202777386,0.0010006428048485452,0.003042268530060469,0.6395123916377353,0.25263514193377473,0.6901412010192871,1.9887591872027668,0.763574433978647
8,42,189.29234218597412,7153.705078125,0.0,0.0,0.6905064459539886,0.32883127622115305,0.35427799329289006,0.0,0.0,0.0,0.0,0.0,0.0,0.007397175871201942,0.0,0.0,0.0,2.2458614516428317,2.4694802093819064,1.4970625638961792,30.09438314003539,114.39635056471113,0.40386160954324085,0.337191510378985,0.4417988657951355,4.755728491137051,0.011507284959900594,0.011327752917248779,0.008101066574454308,0.0009790061908030155,0.0028403770989163823,0.6450823240088427,0.25766104455163397,0.6981133818626404,1.9022913964548205,0.7525818152353168
9,42,189.26278066635132,7154.111328125,0.0,0.0,0.6472112679073954,0.3117895731049725,0.3283001794010146,0.0,0.0,0.0,0.0,0.0,0.0,0.007121514612172022,0.0,0.0,0.0,2.191980968959472,2.4311413116986285,1.437709093093872,29.540386848781424,118.31043623307481,0.41308536227523535,0.35229948812052647,0.4597431421279907,5.058365758754864,0.010962871812716638,0.011106246275992352,0.0077850474044680595,0.0009484228524156179,0.0030395887251090064,0.6523781469050703,0.30450204187043867,0.7123602032661438,2.1184608733246866,0.7227470702491701
10,42,189.17142486572266,7153.705078125,0.0,0.0,0.6153945491864131,0.30015873819844335,0.3083038677007724,0.0,0.0,0.0,0.0,0.0,0.0,0.006931943961013204,0.0,0.0,0.0,2.1771561850588714,2.443733228165594,1.4252464771270752,29.287244351739382,116.53424173914698,0.41704676816641795,0.3680726446606422,0.4661896824836731,4.842196281884998,0.010934731515338447,0.011111419590557921,0.007796580903232098,0.000940121775312335,0.0030106470263740353,0.6557819805411204,0.3778122776561419,0.7198086977005005,1.9455252918287937,0.7165215290151536
