epoch,seed,epoch_time_s,peak_vram_mb,alpha_e,alpha_p,train_loss,train_loss_edos,train_loss_phdos,train_loss_tv,train_loss_grad,train_loss_shape_e,train_loss_shape_p,train_loss_scale_e,train_loss_scale_p,train_loss_gap,train_loss_sum,mae_edos_mean,mae_edos_std,mae_edos_median,mse_edos_mean,mse_edos_std,r2_edos_mean,r2_edos_std,r2_edos_median,fail_rate_edos,mae_phdos_mean,mae_phdos_std,mae_phdos_median,mse_phdos_mean,mse_phdos_std,r2_phdos_mean,r2_phdos_std,r2_phdos_median,fail_rate_phdos,balanced_score
1,42,240.50535798072812,7978.87255859375,0.0,0.0,0.9674196187198828,0.6204924052506923,0.6938544248469899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.633912865413886,2.711845480654656,1.7952206134796145,36.73509529152019,129.45773796839492,0.1848209340532893,0.3902115713210472,0.2273046970367431,17.88453774727493,0.0053109433913724,0.006846621107746,0.0032382505014538,0.0006342438831447,0.003145928248573,0.6764958955657352,0.2166531227053945,0.728103518486023,0.8477997577714977,0.8992294319905341
2,42,238.406480550766,7976.71630859375,0.0,0.0,0.7324367461212133,0.5085097225754265,0.4478540449526511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4769701585339043,2.599595980429346,1.691886305809021,33.49422362771531,117.8706163063432,0.2738443812536625,0.3302072056753119,0.3087049126625061,10.819539765845782,0.004948400352272,0.0067352406771551,0.0030298875644803,0.0005960605571608,0.003931415395886,0.6980712729497547,0.2196102900186161,0.7503430247306824,1.2111425111021397,0.8474580966867507
3,42,238.4067068099976,7977.46630859375,0.0,0.0,0.6606425389623718,0.4557528110782495,0.4097794577170407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.356630682702363,2.5201664546817497,1.575011968612671,31.206219041506284,102.5585442880632,0.29304075204994,0.4526443475327336,0.3544321656227112,9.890997174000807,0.0047104112456041,0.0063515944144612,0.0028644879348576,0.0005482454801874,0.0029816135116936,0.7163914107342714,0.2124548639650243,0.7718480229377747,0.9689140088817118,0.7889382282737643
4,42,238.41784048080444,7978.21630859375,0.0,0.0,0.6165204523472885,0.4237453872887521,0.3855501315192552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.303962940153157,2.4749399151374742,1.5367438793182373,31.20462393331674,113.62633296109604,0.3354241001928435,0.3742041676161852,0.3696810007095337,6.62091239402503,0.0045860249801626,0.0061566623981172,0.0027969456277787,0.0004950230948776,0.0023699313815824,0.7295612642540775,0.2018712762715702,0.7812942266464233,0.4844570044408559,0.769770412473008
5,42,238.2643456459045,7977.87255859375,0.0,0.0,0.5901073565323387,0.4062984059111733,0.367617900957141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.279261227860313,2.450397153628116,1.518882155418396,30.02091389976451,108.06197961434066,0.3413430659050031,0.3575849023153385,0.3781393766403198,7.2264836495761,0.0045476060616171,0.0061777297243524,0.0027982054743915,0.0005245067523897,0.0026342468038331,0.7261466073036964,0.2042036105859077,0.7822384834289551,0.8881711748082357,0.7608401804463938
6,42,238.0972094535828,7971.46630859375,0.0,0.0,0.5693050253144102,0.3921887186583149,0.3542326119100077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2501388400617115,2.445458483243104,1.4991188049316406,29.65254674931585,107.77487275035244,0.3568430837720548,0.3862219077217819,0.4001141786575317,6.257569640694388,0.0043849423536118,0.0059901588538215,0.0026934873312711,0.0004864115674167,0.0024934856390702,0.731090271429617,0.2109691965312863,0.7859251499176025,1.0092854259184496,0.7509061461314559
7,42,243.47135066986084,7972.0625,0.0,0.0,0.5428552423652849,0.37507445028904335,0.3355615845327362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1917745868141885,2.383372798996128,1.4473795890808105,29.03727370006939,105.90315046471912,0.3694966876992883,0.44854050404401297,0.420343816280365,6.0557125555106985,0.0043568333963904015,0.0059282002332719285,0.002622085390612483,0.00047119425263234595,0.0022041364579494225,0.7462576208549687,0.20048545311823765,0.8001090884208679,0.7670569236980218,0.7250008372357115
8,42,241.43678450584412,7971.8125,0.0,0.0,0.514629253597731,0.35729330511944907,0.31467189662384265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1344162714357426,2.324741081051994,1.4025828838348389,28.58180103818636,113.87681086757786,0.3882939774613733,0.38237653162815755,0.43756282329559326,5.813484053290271,0.004155863727131132,0.005970074921767494,0.002459975890815258,0.00046827397689787537,0.0029519512796507136,0.7540625179059379,0.21205976870737298,0.8162758946418762,1.0900282599919258,0.7025214298628271
9,42,241.5719268321991,7973.9375,0.0,0.0,0.48912609008510716,0.3420219295903256,0.294208321250987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.107572371589052,2.315666714613951,1.402724027633667,27.375578935271815,105.08739623145429,0.40049123205770926,0.4486698540396736,0.44903087615966797,5.329027048849415,0.004083035162603379,0.005970595105720284,0.0023986054584383965,0.00047138791019439737,0.0028361929790886244,0.7586970423371935,0.21284015142971274,0.8198844194412231,1.2111425111021397,0.7025613165460527
10,42,241.58045268058777,7974.3125,0.0,0.0,0.4692379875046214,0.3303228432529471,0.2778302884795829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.087118261386586,2.304293447674019,1.3788950443267822,27.22919655171374,105.83127023212474,0.40581321906408185,0.4154846109520949,0.4545528292655945,5.571255551069843,0.004019248504046764,0.005812004506113414,0.0023418294731527567,0.0004351729645733901,0.002556213689563786,0.7685099847383157,0.2216535361998495,0.8306488394737244,0.9285425918449738,0.6906184368999675
