epoch,seed,epoch_time_s,peak_vram_mb,alpha_e,alpha_p,train_loss,train_loss_edos,train_loss_phdos,train_loss_shape_e,train_loss_shape_p,train_loss_scale_e,train_loss_scale_p,train_loss_gap,train_loss_sum,mae_edos_mean,mae_edos_std,mae_edos_median,mse_edos_mean,mse_edos_std,r2_edos_mean,r2_edos_std,r2_edos_median,fail_rate_edos,mae_phdos_mean,mae_phdos_std,mae_phdos_median,mse_phdos_mean,mse_phdos_std,r2_phdos_mean,r2_phdos_std,r2_phdos_median,fail_rate_phdos,balanced_score
1,42,103.98871445655824,7170.3466796875,-0.015963576734066,0.0109906224533915,0.0259334766319559,0.014584423957865,0.0113490527256801,0.0,0.0,0.0,0.0,0.0,0.0,2.936666843759196,2.995147737580062,1.9782286882400515,43.67487818512585,127.60410500473049,0.3325113228078657,0.4357386876424086,0.421470582485199,13.420860685630926,0.0196102378412029,0.0153483703857016,0.0158709958195686,0.0022350827410112,0.0045398364660181,0.5446060481165379,0.3190713097731329,0.6291383504867554,6.272793581327499,0.99704984202981
2,42,102.01275825500488,7168.8466796875,-0.0165894646197557,0.0116995340213179,0.0241702936872101,0.013504635037599,0.010665658625174,0.0,0.0,0.0,0.0,0.0,0.0,3.1371323955995942,3.360144319685795,2.095475912094116,45.94859189493141,144.63748270544627,0.3359121482447061,0.4577097252661294,0.4354430437088012,13.49380014587892,0.0195229570515505,0.017116020890001,0.0155860316008329,0.0021938090821198,0.0051374533576584,0.5559076886817019,0.3395404840470458,0.6501667499542236,6.929248723559446,1.0555309718474746
3,42,102.17430329322816,7170.0966796875,-0.0173548460006713,0.0126439556479454,0.0234199212782584,0.0131319342615522,0.010287987027567,0.0,0.0,0.0,0.0,0.0,0.0,2.8180257995782068,2.7987131227865434,1.9187252521514893,40.88714130539827,115.75152497785828,0.3708754940940723,0.3698668201191866,0.4443784952163696,10.722100656455142,0.019355756442,0.0156845660987913,0.0155719332396984,0.0021765878044885,0.0050430445237369,0.5530867432695857,0.3732285276383614,0.6596387624740601,7.2210065645514225,0.9671485926955938
4,42,102.15195965766908,7173.7841796875,-0.0179181676357984,0.0133407525718212,0.0226909426032801,0.0127261256712214,0.0099648168804694,0.0,0.0,0.0,0.0,0.0,0.0,3.14658427625938,3.3828947352581142,2.0847368240356445,42.62186543869003,127.08139960633734,0.3583919484627499,0.4556348198158719,0.4585263729095459,11.232676878191102,0.0202051622711222,0.0163919602723361,0.0162815041840076,0.00220852515519,0.0052630764033845,0.5490892019087515,0.3673712274793621,0.6531569361686707,7.00218818380744,1.050509164109826
5,42,102.1864688396454,7174.0966796875,-0.018202856183052,0.013993083499372,0.0221238726255845,0.0123751097937106,0.0097487628128672,0.0,0.0,0.0,0.0,0.0,0.0,2.976433366895765,3.026483538509014,2.024740695953369,41.51488571981529,121.35309458301002,0.3477900605580826,0.4704261914885627,0.4538419246673584,13.49380014587892,0.0186479152253279,0.0159124207872084,0.0149183524772524,0.0021279795132388,0.005361834348307,0.5664214783998235,0.3636479632185304,0.6687146425247192,6.929248723559446,1.0198295242153108
6,42,101.91436290740968,7166.8466796875,-0.0186769720166921,0.0151943312957882,0.0215843197870619,0.0120679624541594,0.0095163573641275,0.0,0.0,0.0,0.0,0.0,0.0,2.860183313499829,2.9195920212490853,1.9404336214065552,40.88881171926011,119.52608933442968,0.3812064387605279,0.3763388563496204,0.460747480392456,11.232676878191102,0.0201801139655686,0.0171990435197635,0.0159754678606987,0.002154966338626,0.0053816392765504,0.5640188946417872,0.3646072176564243,0.6688063144683838,7.00218818380744,0.9782045446336268
7,42,101.91931366920473,7170.0966796875,-0.0190679430961608,0.0159663613885641,0.0210606420342063,0.0117891187923512,0.0092715232174181,0.0,0.0,0.0,0.0,0.0,0.0,2.825290653830154,2.8055630655759947,1.925441145896912,40.39824886972466,112.96189289737136,0.3645963063212227,0.4433128992394571,0.4614095687866211,12.472647702407002,0.0191541460302286,0.0163562324555321,0.0152111481875181,0.0021442297999055,0.005424086980174,0.5676472688747269,0.345441905834602,0.6674904823303223,6.856309263311451,0.9703261470422148
8,42,101.99245572090148,7170.8466796875,-0.0195700507611036,0.0164856947958469,0.020638448237808,0.0115579808587018,0.0090804673628148,0.0,0.0,0.0,0.0,0.0,0.0,2.777341236100199,2.853006168219931,1.88028883934021,41.51308576053078,130.60783600840733,0.3841106838157453,0.409177593302661,0.4710915684700012,11.52443471918308,0.0183398074127922,0.0157331003807018,0.0145555436611175,0.002107698966899,0.0053605567421023,0.5703482301369103,0.3539774780003771,0.6752403974533081,7.731582786287381,0.9474221915006638
9,42,101.89054584503174,7170.8466796875,-0.01974543556571,0.0171328578144311,0.020212013008339,0.011330069004729,0.0088819440361926,0.0,0.0,0.0,0.0,0.0,0.0,2.9392953074104504,3.0798650106213263,1.955908179283142,41.14118840774748,119.67941836031883,0.3769116930332086,0.4363616532197444,0.4719657301902771,11.962071480671042,0.0184755533933469,0.0162096033756098,0.0148908533155918,0.0021502132253487,0.0060659131000215,0.5706312456416179,0.368232738428338,0.6781960725784302,7.075127644055435,0.985399516299367
10,42,102.19097638130188,7170.8466796875,-0.0199805703014135,0.0180028807371854,0.0197932556782015,0.0111033430230687,0.0086899126741394,0.0,0.0,0.0,0.0,0.0,0.0,2.729029020260582,2.731386649183631,1.8803417682647705,39.65245105343362,113.66171226486892,0.382090959950662,0.4240148780078434,0.4879634976387024,12.180889861415023,0.0186242079956662,0.0170864417822315,0.0147530119866132,0.0021880264633775,0.0062280295936492,0.5653125849803114,0.3718522507703002,0.6709160804748535,7.293946024799417,0.947547390125692
