epoch,epoch_time_s,alpha_e,alpha_p,train_loss,train_loss_edos,train_loss_phdos,train_loss_shape_e,train_loss_shape_p,train_loss_scale_e,train_loss_scale_p,train_loss_gap,train_loss_sum,mae_edos_mean,mae_edos_std,mae_edos_median,mse_edos_mean,mse_edos_std,r2_edos_mean,r2_edos_std,r2_edos_median,fail_rate_edos,mae_phdos_mean,mae_phdos_std,mae_phdos_median,mse_phdos_mean,mse_phdos_std,r2_phdos_mean,r2_phdos_std,r2_phdos_median,fail_rate_phdos,balanced_score
1,102.0862455368042,0.0,0.0,0.18043811586699054,0.09123652258958483,0.08920159330455799,0.0,0.0,0.0,0.0,0.0,0.0,4.723801609788995,4.95413751298709,3.3456015586853027,73.49049856120558,256.2818428171382,-0.10585396051580762,0.5821507259524151,0.03966236114501953,45.44128373450037,0.02599145741800402,0.021426698585376987,0.021331697702407837,0.0038177419411079246,0.008849969021651938,0.32127854551910745,0.33945762397438906,0.39240384101867676,14.296134208606857,1.6834666281938553
2,102.1151511669159,0.0,0.0,0.09214420021449164,0.05918799149573023,0.03295620878935729,0.0,0.0,0.0,0.0,0.0,0.0,4.758645045505137,5.537163421481671,3.1749629974365234,85.29350443606086,352.2634535937128,-0.09905672308130911,0.6385670890759495,0.027928948402404785,46.900072939460244,0.023039895036807357,0.01929592475255659,0.018988220021128654,0.003272417077672524,0.0074789488128005795,0.38708194735970136,0.31372456082670186,0.44650715589523315,10.065645514223196,1.596975608728826
3,102.06586456298828,0.0,0.0,0.08228543937293155,0.05246445437779232,0.02982098502772195,0.0,0.0,0.0,0.0,0.0,0.0,4.460668383409384,5.043700643228752,2.972410202026367,78.66783338939508,311.03630878065394,-0.038023896412115565,0.5627740685798226,0.04706096649169922,44.055433989788476,0.021621120886443784,0.01849092284001494,0.017504200339317322,0.0028815393838898676,0.006519274337511089,0.44596775685845286,0.28067389857007674,0.48916733264923096,6.491611962071481,1.4949572011828423
4,102.0364179611206,0.0,0.0,0.07638396863600255,0.04865239144631447,0.02773157740690618,0.0,0.0,0.0,0.0,0.0,0.0,4.3350513229767484,4.9069227206990425,2.807483673095703,74.88322517029631,275.2961596650698,-0.002548043959163385,0.5460588457937463,0.0769149661064148,40.40846097738876,0.021004063237756002,0.017540548611187777,0.017020240426063538,0.0026487902355452364,0.005643918094988279,0.47345171041683415,0.3022109531761321,0.5302609205245972,6.199854121079504,1.4122519567608833
5,102.0242965221405,0.0,0.0,0.0720928454711903,0.04563099232776519,0.026461853061968313,0.0,0.0,0.0,0.0,0.0,0.0,4.320419997042065,4.853501808088392,2.7999978065490723,71.70876489872049,241.4943225838629,0.02541766646654392,0.5574225150481421,0.11343556642532349,36.10503282275711,0.020776525560975683,0.017554866902330553,0.016671156510710716,0.002568236961577518,0.0056070286573598515,0.4896740968604752,0.3102576013553627,0.5559033155441284,6.3457330415754925,1.4083344815298915
6,102.01270484924316,0.0,0.0,0.06795087563140052,0.042435871996528554,0.02551500380864644,0.0,0.0,0.0,0.0,0.0,0.0,3.8866675666089825,4.339351571189379,2.5071098804473877,63.029422427259284,209.65635205860355,0.13602025955806762,0.47214835331879346,0.21533852815628052,28.373450036469734,0.020293226916639148,0.017437739910982863,0.016058675944805145,0.0025152491555113666,0.005571297834425466,0.5026388955672756,0.3011735018594744,0.5608526468276978,6.0539752005835155,1.2615842781960964
7,102.08889675140381,0.0,0.0,0.06404816411413883,0.039263387685831715,0.024784776439168016,0.0,0.0,0.0,0.0,0.0,0.0,3.847613097074082,4.336703523875266,2.4644579887390137,62.034810967911866,204.86447562378308,0.16144829475471,0.4840423707766944,0.24869537353515625,26.112326768781912,0.019985107480912426,0.017288687139841368,0.015814220532774925,0.0024641362972198195,0.0055620182736576375,0.5120504418921941,0.30127039684558743,0.5702896118164062,6.0539752005835155,1.2401361046358943
8,102.03695058822632,0.0,0.0,0.06138288028777167,0.037141364752029886,0.02424151564435083,0.0,0.0,0.0,0.0,0.0,0.0,3.4482106269492796,3.6340386396717506,2.2953579425811768,54.955687184810614,173.74206800557639,0.22124152866964528,0.4186618752808623,0.2803087830543518,21.079504011670313,0.01970369214386313,0.01712046681636708,0.015642670914530754,0.00243138844238152,0.0056304962949895255,0.5205452294787901,0.29783270725186684,0.5794483423233032,5.616338439095551,1.1555003067478538
9,102.0997588634491,0.0,0.0,0.0592705626963874,0.0355044311298052,0.02376613166433034,0.0,0.0,0.0,0.0,0.0,0.0,3.2921800833334025,3.3652326172260265,2.2161669731140137,51.97856888262776,161.4773278712658,0.24965324873997294,0.38797146404478877,0.3024837374687195,18.672501823486506,0.01958004206415255,0.017200759260669954,0.015489543788135052,0.0023917792118558173,0.005673605193419207,0.527028120929181,0.3024930543161936,0.5905555486679077,5.689277899343545,1.1158282584510744
10,102.03400111198425,0.0,0.0,0.057634394398670505,0.034302194686959504,0.023332199793167783,0.0,0.0,0.0,0.0,0.0,0.0,3.3141712053936385,3.4077402405324073,2.2056760787963867,51.06022361758349,157.4265057198666,0.2614292665870411,0.39828470264434995,0.3144764304161072,17.359591539022613,0.01928501003134838,0.0169368906724821,0.01517646573483944,0.002361105878769588,0.005701494170256072,0.5345558445441471,0.30158713769060336,0.5988155603408813,5.543398978847557,1.110426272265613
