epoch,seed,epoch_time_s,peak_vram_mb,alpha_e,alpha_p,train_loss,train_loss_edos,train_loss_phdos,train_loss_tv,train_loss_grad,train_loss_shape_e,train_loss_shape_p,train_loss_scale_e,train_loss_scale_p,train_loss_gap,train_loss_sum,mae_edos_mean,mae_edos_std,mae_edos_median,mse_edos_mean,mse_edos_std,r2_edos_mean,r2_edos_std,r2_edos_median,fail_rate_edos,mae_phdos_mean,mae_phdos_std,mae_phdos_median,mse_phdos_mean,mse_phdos_std,r2_phdos_mean,r2_phdos_std,r2_phdos_median,fail_rate_phdos,balanced_score
1,42,240.66909408569336,7978.86474609375,0.0,0.0,0.0872178788117149,0.0610763241597815,0.0211506096328322,0.1724867964285222,0.0825702161654425,0.0,0.0,0.0,0.0,0.0,0.0,4.535589229241825,6.461248685305216,2.8303048610687256,84.05005990541783,672.7090613252514,-0.4686054675435654,1.1593789785568265,-0.1610211133956909,62.4949535728704,0.0089787470415356,0.0105679903583218,0.0057473094202578,0.00112490536608,0.0037918804833994,0.3318418197974496,0.4894816415405332,0.4654163718223572,15.381509890997174,1.4180260852444917
2,42,238.8056268692017,7976.70849609375,0.0,0.0,0.0589724593755731,0.0436759964463433,0.0121918981293278,0.1042174666739726,0.0516695493454948,0.0,0.0,0.0,0.0,0.0,0.0,3.909113339157861,5.317427344615641,2.5343403816223145,65.83468552855237,472.4704058960648,-0.205079648708402,0.8847139283102542,0.0383803248405456,45.66007266855067,0.0088596318083741,0.0106199220416457,0.0056478194892406,0.0007863954972586,0.0026783076890197,0.5279163560609351,0.3658345174533659,0.6310325860977173,7.307226483649575,1.2699941005557775
3,42,238.68305492401123,7977.45849609375,0.0,0.0,0.0489881312091384,0.0351796948114793,0.0111920910180387,0.0776779441076792,0.0445591089638036,0.0,0.0,0.0,0.0,0.0,0.0,3.3496896728277687,4.411535644505322,2.15321683883667,55.63862808729884,326.30489011120426,-0.1053746961806154,0.9415629422606095,0.1355555057525634,39.48324586192975,0.00753335741308,0.0094024703124309,0.0048252092674374,0.0007963345816539,0.0029006380825854,0.5140360354847806,0.4196706510777852,0.6335577964782715,9.60839725474364,1.0790210240520537
4,42,238.62028312683103,7978.20849609375,0.0,0.0,0.043831700260084,0.0309217396404659,0.0105164356973836,0.0629029742648537,0.0415802011518862,0.0,0.0,0.0,0.0,0.0,0.0,3.693687975117888,4.774407737984479,2.268220901489258,61.3510437546372,305.161597838045,-0.174448025746359,1.0154933687875745,0.1011650562286377,42.14775938635446,0.0063849227206216,0.0077034796590663,0.0040845451876521,0.0006545280906174,0.002308173489169,0.6233954036192495,0.3129651166858819,0.7060461044311523,4.521598708114655,1.136152723338455
5,42,238.60252261161804,7977.86474609375,0.0,0.0,0.0413896724807493,0.0290324860883719,0.0100782724688545,0.0547292031454697,0.0401053596406794,0.0,0.0,0.0,0.0,0.0,0.0,3.876132702945965,4.875132297963466,2.3828086853027344,64.11672265314921,269.49064123562124,-0.3025177584861044,1.129154714367551,0.00284343957901,49.85870004037142,0.0058028615455291,0.0073640932202016,0.0036065112799406,0.0006006247544955,0.0021748320155267,0.6534238328700783,0.2914715505289777,0.7330197691917419,3.673798950343157,1.1932075982913375
6,42,238.5534963607788,7971.45849609375,0.0,0.0,0.039739679643198,0.0278487891653935,0.0096816911549267,0.049275738259917,0.0392564102187396,0.0,0.0,0.0,0.0,0.0,0.0,3.581863063177396,4.839958461576097,2.1313681602478027,60.54406888892278,293.8554244960909,-0.074506033511233,0.9046632876204324,0.1641413569450378,38.07024626564392,0.0064918705473255,0.0087128991058306,0.0039409063756465,0.0007073173503686,0.0025459718421745,0.5719350936868087,0.3762950542730218,0.6817693710327148,6.903512313282197,1.0676545333117249
7,42,244.05481123924255,7972.0546875,0.0,0.0,0.0380056286364366,0.026597568028542604,0.009250706222882729,0.04578928916196694,0.03856815646686242,0.0,0.0,0.0,0.0,0.0,0.0,3.4304994430978017,4.35194830141463,2.1383187770843506,54.923906650434056,234.8030434726121,-0.06898261827473492,0.9004476352525254,0.16985154151916504,37.78764634638676,0.005859312718237559,0.007303508338504062,0.0037383828312158585,0.0005621241646218794,0.0021815890287537622,0.6584875058107527,0.31713227142424943,0.7542246580123901,4.238998788857489,1.0710285799577832
8,42,242.14683032035828,7971.8046875,0.0,0.0,0.03636340567310366,0.025495831140181856,0.00874526795085989,0.04400188178180507,0.03804594243875151,0.0,0.0,0.0,0.0,0.0,0.0,3.0925963399815233,3.9610596831422074,1.8997738361358643,48.21234974027605,214.42061870067974,0.00647986151780339,0.9220119052859734,0.22334975004196167,32.78159063383125,0.0053487865569266995,0.007022252270512699,0.0033705122768878937,0.0005261812306647582,0.0021219954350254577,0.6743198277058022,0.31192607119937715,0.7691613435745239,3.996770286637061,0.9515721742063761
9,42,242.1634840965271,7973.9296875,0.0,0.0,0.03488870788858743,0.024502708203793522,0.00828883864662864,0.04340961958731761,0.037602261745592246,0.0,0.0,0.0,0.0,0.0,0.0,2.915226740491128,3.811222486822919,1.7855558395385742,44.06416839314662,205.76099396095552,0.12057186051342918,0.7941009874396082,0.3015453815460205,26.07993540573274,0.005315003895777367,0.007123202083436213,0.0032836205791682005,0.0005615590374097064,0.002255241338841905,0.6629099028939243,0.32498629849968447,0.7603646516799927,4.440855874041179,0.8944197300588712
10,42,242.14978575706482,7974.3046875,0.0,0.0,0.03378128602304622,0.023810498630316063,0.007888006367995457,0.04349705228133445,0.03730591600151819,0.0,0.0,0.0,0.0,0.0,0.0,2.944400741437846,3.8293158334887454,1.7967147827148438,45.32575756771588,216.7147798121962,0.08173769868859178,0.8293825499348139,0.2863999605178833,28.582963262010498,0.005039661453890573,0.007039277114078677,0.0030033031944185495,0.0005063604997163964,0.0020720713950708146,0.6948289482113235,0.29803602185405614,0.7862731218338013,3.552684699232943,0.8998590429546311
