epoch,seed,epoch_time_s,peak_vram_mb,alpha_e,alpha_p,train_loss,train_loss_edos,train_loss_phdos,train_loss_tv,train_loss_grad,train_loss_shape_e,train_loss_shape_p,train_loss_scale_e,train_loss_scale_p,train_loss_gap,train_loss_sum,mae_edos_mean,mae_edos_std,mae_edos_median,mse_edos_mean,mse_edos_std,r2_edos_mean,r2_edos_std,r2_edos_median,fail_rate_edos,mae_phdos_mean,mae_phdos_std,mae_phdos_median,mse_phdos_mean,mse_phdos_std,r2_phdos_mean,r2_phdos_std,r2_phdos_median,fail_rate_phdos,balanced_score
1,42,235.29914093017578,7368.81005859375,0.0,0.0,1.1689753366049016,0.5692355726894579,0.59973976115861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5919382413762757,2.6822377287867223,1.7776073217391968,35.14663066667627,121.87466036131804,0.2370321795398495,0.2998589619867287,0.2675158381462097,12.313282196205087,0.0050271990030042735,0.006747102540745629,0.0030478944536298513,0.0005978329068395784,0.003495476910119497,0.6966323531776077,0.22255406969255895,0.7565404176712036,1.0092854259184496,0.8903276080964133
2,42,233.431471824646,7367.56005859375,0.0,0.0,0.8890024928384991,0.4776100967394298,0.411392397239828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4785986341781188,2.6000721124654826,1.6501532793045044,32.6426772296331,106.43863024387413,0.2919698279857828,0.2844098884930477,0.32613635063171387,8.599111828825192,0.004843394481371067,0.006644581465129947,0.002901350613683462,0.0005957738855705473,0.0034479354234038875,0.6994010917015214,0.22317837364864998,0.7517041563987732,1.0900282599919258,0.8265273149590939
3,42,233.52431631088257,7370.12255859375,0.0,0.0,0.8099941147381419,0.4348630819119145,0.37513103315894875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.35051550328142,2.509476204112896,1.5574219226837158,32.045040461456814,120.58104699746343,0.29887683450766617,0.41851818034694904,0.354653000831604,9.689140088817117,0.004554013816041396,0.006290056757677327,0.0027423801366239786,0.0005110217595083982,0.003297378010335343,0.7318794236916614,0.20735906691146194,0.7879206538200378,0.6459426725878078,0.7800821514101699
