epoch,train_loss,train_edos_loss,train_phdos_loss,epoch_time_s,peak_vram_mb,blind_mae_edos_mean,blind_mae_edos_median,blind_r2_edos_mean,blind_r2_edos_median,blind_mae_phdos_mean,blind_mae_phdos_median,blind_r2_phdos_mean,blind_r2_phdos_median,oracle_mae_edos_median,oracle_r2_edos_median,oracle_mae_phdos_median,oracle_r2_phdos_median
1,2.707546562912165,1.2776322809669785,1.3736590492829637,109.69035077095032,9377.85400390625,5.196826934814453,3.7499470710754395,-1.4200125932693481,-1.056318998336792,0.025425639003515244,0.020906999707221985,-0.33626726269721985,0.29681432247161865,3.7275922298431396,-1.0746843814849854,0.022347863763570786,0.2763189673423767
2,2.2163844306684446,1.134033686913137,1.0708950262723094,107.54307174682617,9379.5322265625,5.156534671783447,3.770242214202881,-1.3548502922058105,-1.0208780765533447,0.024644307792186737,0.0208808071911335,-0.2464894950389862,0.3636806607246399,3.7274270057678223,-1.0210180282592773,0.022756319493055344,0.2736719250679016
3,2.0849072940148,1.1068600325820745,0.9665184742160163,107.6588351726532,9382.0322265625,5.182652473449707,3.7998194694519043,-1.3927098512649536,-1.0549485683441162,0.023794695734977722,0.020429663360118866,-0.1383650004863739,0.3796074390411377,3.7274270057678223,-1.0210180282592773,0.020488381385803223,0.42544031143188477
4,2.0193470209054976,1.1004493260870174,0.9084857641434183,107.60125994682312,9382.0322265625,5.1920599937438965,3.8056282997131348,-1.407509684562683,-1.0675625801086426,0.023587416857481003,0.019759126007556915,-0.3411444425582886,0.39598941802978516,3.7274270057678223,-1.0210180282592773,0.019563356414437294,0.4573729634284973
5,1.985771376607022,1.09699623682061,0.8775714250069665,107.66482019424438,9382.0322265625,5.186832427978516,3.7974424362182617,-1.3933206796646118,-1.0580229759216309,0.02260315790772438,0.018974948674440384,-0.08186772465705872,0.41183292865753174,3.7194430828094482,-1.0171425342559814,0.01857340708374977,0.48738837242126465
6,1.7588561533491396,0.881758782502166,0.8543597046209841,107.75052070617676,9382.0322265625,5.226511478424072,4.0254902839660645,-1.5768170356750488,-0.99225914478302,0.022475847974419594,0.018910067155957222,0.07813423126935959,0.4459803104400635,3.777831554412842,-0.7696998119354248,0.01909673400223255,0.4933347702026367
7,1.6194163932744685,0.7675544230305419,0.8399620335929248,107.64060568809509,9382.0322265625,4.6911211013793945,3.4498343467712402,-0.9992597699165344,-0.5617203712463379,0.022734349593520164,0.019065452739596367,0.039025481790304184,0.44293105602264404,3.2840633392333984,-0.44419407844543457,0.019226305186748505,0.4890033006668091
8,1.5788996702728049,0.7384737429396404,0.8291706661788785,107.66149544715881,9382.0322265625,4.7069783210754395,3.3586108684539795,-0.8870049118995667,-0.47896599769592285,0.022521736100316048,0.018650822341442108,0.058064281940460205,0.45376574993133545,3.2036166191101074,-0.35076940059661865,0.018973680213093758,0.5050896406173706
9,1.5494908796455005,0.714213111484016,0.8230083160775743,107.59898829460144,9382.0322265625,4.708378314971924,3.3780226707458496,-0.8055041432380676,-0.4309878349304199,0.022250790148973465,0.018509354442358017,0.0877390205860138,0.45784586668014526,3.1112637519836426,-0.2941272258758545,0.018696807324886322,0.5121749639511108
10,1.5234230659445938,0.6929141816522916,0.8170277024497096,107.63621878623962,9382.0322265625,4.494346618652344,3.243752956390381,-0.6585182547569275,-0.3460193872451782,0.021955717355012894,0.01823440007865429,0.12116605043411255,0.4614052176475525,3.103091239929199,-0.29411041736602783,0.018488483503460884,0.5155179500579834
