epoch,seed,epoch_time_s,peak_vram_mb,alpha_e,alpha_p,train_loss,train_loss_edos,train_loss_phdos,train_loss_tv,train_loss_grad,train_loss_shape_e,train_loss_shape_p,train_loss_scale_e,train_loss_scale_p,train_loss_gap,train_loss_sum,mae_edos_mean,mae_edos_std,mae_edos_median,mse_edos_mean,mse_edos_std,r2_edos_mean,r2_edos_std,r2_edos_median,fail_rate_edos,mae_phdos_mean,mae_phdos_std,mae_phdos_median,mse_phdos_mean,mse_phdos_std,r2_phdos_mean,r2_phdos_std,r2_phdos_median,fail_rate_phdos,balanced_score
1,42,235.18319416046145,7369.56005859375,0.0,0.0,1.1689753366049016,0.5692355726894579,0.59973976115861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.591938241376276,2.6822377287867223,1.7776073217391968,35.14663066667627,121.87466036131804,0.2370321795398495,0.2998589619867287,0.2675158381462097,12.313282196205089,0.0050271990030042,0.0067471025407456,0.0030478944536298,0.0005978329068395,0.0034954769101194,0.6966323531776077,0.2225540696925589,0.7565404176712036,1.0092854259184496,0.8903276080964133
2,42,233.3029782772064,7368.56005859375,0.0,0.0,0.8890024928384991,0.4776100967394298,0.411392397239828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4785986341781188,2.600072112465482,1.6501532793045044,32.6426772296331,106.43863024387412,0.2919698279857828,0.2844098884930477,0.3261363506317138,8.599111828825192,0.004843394481371,0.0066445814651299,0.0029013506136834,0.0005957738855705,0.0034479354234038,0.6994010917015214,0.2231783736486499,0.7517041563987732,1.0900282599919258,0.8265273149590939
3,42,233.2803111076355,7367.96630859375,0.0,0.0,0.8099941147381419,0.4348630819119145,0.3751310331589487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.35051550328142,2.509476204112896,1.5574219226837158,32.045040461456814,120.58104699746345,0.2988768345076661,0.418518180346949,0.354653000831604,9.689140088817116,0.0045540138160413,0.0062900567576773,0.0027423801366239,0.0005110217595083,0.0032973780103353,0.7318794236916614,0.2073590669114619,0.7879206538200378,0.6459426725878078,0.7800821514101699
4,42,233.3638243675232,7368.31005859375,0.0,0.0,0.7550078947007941,0.4045326816218131,0.3504752125086016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2940691237939093,2.4363529501733336,1.5114853382110596,30.20842072757013,108.41552677837252,0.3555875265843742,0.3002245990923523,0.3863527774810791,5.773112636253532,0.0044540030421929,0.0060455216055516,0.0027091596275568,0.0004746488972758,0.0023227574648077,0.7397548870353098,0.1974810568229112,0.7933964133262634,0.5248284214775939,0.7570972489193082
5,42,233.2451949119568,7370.56005859375,0.0,0.0,0.7191987920320776,0.3877741339389217,0.3314246574752448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.273252611700107,2.4464250889030343,1.4882214069366455,29.592828148591423,102.9649485851697,0.3547797690103936,0.3713257094618271,0.3916382789611816,6.015341138473961,0.0044348620790744,0.0062256763097296,0.0026489773299545,0.0005247794084858,0.0030924089879932,0.7283673982587513,0.2107709809203547,0.7861300706863403,0.8881711748082357,0.7454351921333
6,42,233.1352734565735,7369.06005859375,0.0,0.0,0.6902225524709936,0.3734051259843546,0.3168174265341705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.235514222205491,2.421008444197536,1.4708796739578247,29.284254504237616,101.9452136107844,0.3612724472834402,0.4453215320190281,0.4116177558898926,5.934598304400485,0.0042903806398981,0.0060500057439528,0.0025727536994963,0.000507626798651,0.0032813381966054,0.7371280566309073,0.2189924909904778,0.7966344356536865,1.0900282599919258,0.7367262138286605
7,42,238.3560140132904,7366.9375,0.0,0.0,0.6488255360290004,0.35530654988600685,0.2935189860241645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2171796942020694,2.3823866405759384,1.4592077732086182,28.68877825388776,97.61137106722106,0.37011198856486976,0.46396704144862766,0.41913408041000366,5.61162696810658,0.004177344521133231,0.005763620693819618,0.0025286381132900715,0.00045002129904629006,0.002550310580269408,0.7564332402902695,0.20607032160315766,0.8148143291473389,1.0496568429551878,0.7308682056609541
8,42,236.29625391960144,7368.9375,0.0,0.0,0.5975697359970312,0.33298608912615496,0.2645836474412556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1442408525927514,2.31050386991106,1.4131855964660645,27.642773685427684,92.77134393551682,0.3882554152293893,0.429887723191137,0.43928539752960205,5.409769882922891,0.004015384101160414,0.0056961414092375545,0.0023706748615950346,0.00042740829346709665,0.0025618198257913315,0.7661633958824229,0.21896046694380403,0.8280940055847168,0.7670569236980218,0.7077781356638297
9,42,236.43424582481384,7367.8125,0.0,0.0,0.5466091702239175,0.31227075794572084,0.23433841299117086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1077207275190672,2.2976034273521933,1.386235237121582,26.792780365766557,93.39298058557739,0.40714611240005033,0.42951336299320264,0.4489481449127197,5.0464271295922485,0.003945564828890459,0.005784059724368651,0.002336367964744568,0.00043468976026479506,0.002988996634598624,0.7706410252475238,0.21099080050949165,0.8323806524276733,0.8477997577714977,0.6942858025431633
10,42,236.36364006996155,7367.3125,0.0,0.0,0.5033625775452055,0.2963107682443692,0.20705180905129542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0858570998297687,2.286165805894367,1.3708784580230713,26.928131398791834,95.25575384355449,0.4081983459202763,0.4389615377129252,0.4576877951622009,5.61162696810658,0.0038331782232135093,0.0056213770904529285,0.002266383497044444,0.0004130115119389985,0.002828602664712583,0.7718180117464662,0.28031195163981454,0.8407661318778992,0.9689140088817118,0.6865724207600579
