epoch,seed,epoch_time_s,peak_vram_mb,alpha_e,alpha_p,train_loss,train_loss_edos,train_loss_phdos,train_loss_shape_e,train_loss_shape_p,train_loss_scale_e,train_loss_scale_p,train_loss_gap,train_loss_sum,mae_edos_mean,mae_edos_std,mae_edos_median,mse_edos_mean,mse_edos_std,r2_edos_mean,r2_edos_std,r2_edos_median,fail_rate_edos,mae_phdos_mean,mae_phdos_std,mae_phdos_median,mse_phdos_mean,mse_phdos_std,r2_phdos_mean,r2_phdos_std,r2_phdos_median,fail_rate_phdos,balanced_score
1,42,237.4563376903534,8220.96533203125,0.0,0.0,0.0492735039888386,0.033688762292052,0.0155847416908452,0.0,0.0,0.0,0.0,0.0,0.0,3.214545577707361,3.2836974467634183,2.2953248023986816,48.3660091590032,155.67066561836816,-0.0892577525777204,0.4282834434663511,0.0084967017173767,49.01090028259992,0.023979420013108,0.0246616003153228,0.0159911531955003,0.003691218538467,0.0117781260252688,0.2252055285532339,0.4700019100247189,0.3573481440544128,20.8316511909568,1.155657977797091
2,42,235.3902018070221,8220.46533203125,0.0,0.0,0.0339516180120349,0.0229711239827734,0.0109804940797638,0.0,0.0,0.0,0.0,0.0,0.0,3.336253579154003,3.678944693550757,2.3348188400268555,49.44292750051589,176.88228285364542,-0.0366395439021665,0.4518235265683945,0.0298283696174621,45.57932983447719,0.0167734907618395,0.0190157343992579,0.0107026193290948,0.0026046857659532,0.0082164140902128,0.4689594896319993,0.3197091558912199,0.5556672811508179,6.943883730318934,1.1727607296779752
3,42,235.266841173172,8221.02783203125,0.0,0.0,0.0299440141042406,0.0198519636016855,0.010092050556028,0.0,0.0,0.0,0.0,0.0,0.0,2.9276444819614102,3.0678492801720045,2.068286895751953,45.08283253987446,145.53462067004068,0.0406215663970744,0.4188102562221803,0.1208924055099487,35.60758982640291,0.0169493311392318,0.0194653371985659,0.0109024262055754,0.0025680527595261,0.008656690389909,0.4780134903985163,0.3356202949072294,0.5638384222984314,6.903512313282197,1.0395946609787643
4,42,235.05921840667725,8219.27783203125,0.0,0.0,0.0272383782567019,0.0175214295395823,0.009716948774306,0.0,0.0,0.0,0.0,0.0,0.0,2.835804177567718,2.942727981250869,1.9766441583633425,42.26008346649586,130.48461591308768,0.0925184238760712,0.3986128400787439,0.1777794361114502,29.430763019781995,0.0182576362927849,0.0209214477719053,0.0118414042517542,0.0027336130307524,0.009515601879052,0.4446686799361622,0.3799093231896548,0.5467431545257568,9.568025837706903,0.9942427813075484
5,42,235.4971206188202,8217.52783203125,0.0,0.0,0.0258793496486672,0.0164769653147725,0.0094023843442923,0.0,0.0,0.0,0.0,0.0,0.0,3.237949529377729,3.814706010879995,2.1743626594543457,47.63423041771782,196.09976349452293,0.0628829996432803,0.6605265164281744,0.2066855430603027,29.632620104965685,0.0156491908373235,0.0186029239138675,0.0099602658301591,0.0024872511693218,0.0083954781815589,0.5021093840987922,0.3064809896217927,0.5809362530708313,6.0557125555106985,1.0921614626422524
6,42,240.52496314048767,8208.4052734375,0.0,0.0,0.024903403743626207,0.015769892416751842,0.009133511346926767,0.0,0.0,0.0,0.0,0.0,0.0,2.996665606707587,3.540769969783488,2.0190043449401855,43.639741029159204,171.58505435776604,0.15692530758302925,0.4519132379791552,0.24710094928741455,22.971336293903917,0.01616410310026262,0.018860654595096466,0.01035517081618309,0.002412849177949302,0.00831069159426194,0.5214964635534829,0.3010537186951151,0.5952723622322083,5.692369802180056,1.0146797578781843
7,42,238.30941700935364,8204.9990234375,0.0,0.0,0.02397917155503181,0.015144041440846247,0.008835130108244112,0.0,0.0,0.0,0.0,0.0,0.0,2.726852346464336,3.0769209335720196,1.861387848854065,40.64040214287889,146.38323181150525,0.1687657822030275,0.4288071116987904,0.2540750503540039,21.840936616875254,0.015468417872118488,0.018234756664381926,0.009765316732227802,0.0024890451822038497,0.00851536125436394,0.5261504275210692,0.2788899910532253,0.5927713513374329,4.360113039967703,0.9355765827931464
8,42,238.56125664710999,8205.4052734375,0.0,0.0,0.023076818834104985,0.014580724930221384,0.008496093941760359,0.0,0.0,0.0,0.0,0.0,0.0,3.0078293228575332,3.636920478746839,1.967873454093933,45.119527116737004,188.61517120409013,0.1283495497405168,0.5797581490494784,0.2567504644393921,25.837706903512313,0.014964260737336293,0.0178044473984131,0.00936051458120346,0.0022889921152346327,0.007918309226869208,0.5454395870119032,0.28554462202331204,0.6149181127548218,4.642712959224869,0.9886169843375683
9,42,238.30865383148193,8206.1865234375,0.0,0.0,0.02228721759714293,0.01411705528143823,0.008170162299365707,0.0,0.0,0.0,0.0,0.0,0.0,2.6755717447419345,3.0390047647131846,1.7961562871932983,38.73159774612138,141.29744309444004,0.20901644877190065,0.4362812023054885,0.2875381112098694,18.85345175615664,0.015736655921438955,0.018787683376437627,0.009938279166817665,0.0023717633401019425,0.008153757695686936,0.5147839247290049,0.35889745623706365,0.6110913753509521,7.266855066612838,0.903047283180058
10,42,238.5674605369568,8208.9052734375,0.0,0.0,0.021677879530467105,0.013780678191669345,0.007897201335084352,0.0,0.0,0.0,0.0,0.0,0.0,2.6742328750823097,3.037034424806512,1.7816323041915894,38.82911797907558,141.6790171625108,0.20698268171948775,0.46664888244907327,0.29786455631256104,19.86273718207509,0.015344585484335727,0.01849202452061499,0.009535851888358593,0.0022795715409886144,0.007868186451507091,0.5383573149691486,0.3363268044745542,0.6259220242500305,6.257569640694388,0.895584078039974
