epoch,epoch_time_s,alpha_e,alpha_p,train_loss,train_loss_edos,train_loss_phdos,train_loss_shape_e,train_loss_shape_p,train_loss_scale_e,train_loss_scale_p,train_loss_gap,train_loss_sum,mae_edos_mean,mae_edos_std,mae_edos_median,mse_edos_mean,mse_edos_std,r2_edos_mean,r2_edos_std,r2_edos_median,fail_rate_edos,mae_phdos_mean,mae_phdos_std,mae_phdos_median,mse_phdos_mean,mse_phdos_std,r2_phdos_mean,r2_phdos_std,r2_phdos_median,fail_rate_phdos,balanced_score
1,103.61212849617004,0.0,0.0,0.14677939626982886,0.06626613072116938,0.08051326518481917,0.0,0.0,0.0,0.0,0.0,0.0,4.660810277061598,5.517965223673914,3.17621111869812,77.81949190119924,365.5188674200925,-0.07148238831762847,0.4966457787950344,0.052227914333343506,43.98249452954048,0.025160080117440458,0.020774139264674567,0.020711997523903847,0.003637008113745247,0.008430447704882443,0.34514296393947475,0.33675967556253716,0.41917741298675537,12.910284463894966,1.598461558111012
2,103.62503409385681,0.0,0.0,0.08031484504222175,0.0481679682611724,0.032146877079724225,0.0,0.0,0.0,0.0,0.0,0.0,4.376601373938468,4.9512163717985,2.952333450317383,77.80764563334664,319.80180405316656,-0.039351156860437816,0.573314138804474,0.05308729410171509,43.034281546316556,0.022007407404191624,0.0180176337287896,0.018167516216635704,0.0031208688293584835,0.006558355521261752,0.40420755150542476,0.29052606915042617,0.4545297622680664,7.950401167031364,1.4852504832670093
3,103.59540843963623,0.0,0.0,0.07352270505258016,0.04455102838945111,0.02897167671743357,0.0,0.0,0.0,0.0,0.0,0.0,3.936165586233487,4.088737124246119,2.7145063877105713,65.25804763838356,227.81126277435246,0.03538073022203842,0.49199212417218996,0.1038672924041748,38.6579139314369,0.021003661804610385,0.017392374529520575,0.016860133036971092,0.002787445339610227,0.005937687252233193,0.4529135193727383,0.28629096809274024,0.5015501976013184,6.710430342815463,1.3656832603737712
4,103.63159275054932,0.0,0.0,0.0687185922208576,0.04160770663106407,0.027110885692972136,0.0,0.0,0.0,0.0,0.0,0.0,3.5461154979110896,3.537093615841278,2.459589719772339,57.31662173374379,179.76487518285106,0.11685124563527403,0.4131119997129598,0.1871412992477417,31.72866520787746,0.02054259831148297,0.016815063194621123,0.016512122005224228,0.002575330460716408,0.005278950693834301,0.48461778706481734,0.2923365074674165,0.5390064716339111,6.491611962071481,1.2380509208887815
5,103.62180018424988,0.0,0.0,0.06378613343956518,0.03782147303788377,0.025964660499429564,0.0,0.0,0.0,0.0,0.0,0.0,3.3676275829604556,3.325446822962047,2.370593547821045,53.71421449333375,162.33568346787627,0.18806621434478146,0.4076626883211403,0.24508768320083618,23.559445660102117,0.020064304895593053,0.01606408102625518,0.015933725982904434,0.0024883335853595804,0.004906750278889391,0.4985700058380589,0.282725609644995,0.548407256603241,5.981035740335521,1.1932636369019747
6,103.70176100730896,0.0,0.0,0.06003137634464325,0.03497275118729637,0.025058625244234117,0.0,0.0,0.0,0.0,0.0,0.0,3.223199222478703,3.09453155340035,2.24884033203125,51.52199969590009,155.53421138086543,0.2213672561683766,0.4024890200715424,0.2821841239929199,21.517140773158278,0.01968869439786114,0.01582351216433334,0.01567489095032215,0.002427079056586075,0.0048732569926414485,0.5102714687085864,0.289924500450837,0.5660678744316101,5.470459518599562,1.132257611490786
7,103.63413619995117,0.0,0.0,0.05768237560553036,0.033320955416247376,0.024361420221865698,0.0,0.0,0.0,0.0,0.0,0.0,3.233778370863586,3.1837143560822097,2.221311330795288,50.45446828206054,150.77237195888347,0.24445528518014542,0.40917612721781194,0.30248433351516724,18.599562363238512,0.019375373244409216,0.015424562656189971,0.01542478334158659,0.00236437032779817,0.004722750037515491,0.5218371381992671,0.2912919048651251,0.5816347002983093,5.543398978847557,1.1183680570684373
8,103.65088868141174,0.0,0.0,0.055974676781510475,0.03214637368222367,0.023828303088425894,0.0,0.0,0.0,0.0,0.0,0.0,3.2718988459402416,3.295194075829751,2.2350313663482666,50.14109138878813,149.4884834129142,0.25992084336402554,0.4097945968609955,0.31777679920196533,16.77607585703866,0.019229791528952222,0.015588680957597988,0.01539296843111515,0.002348743131340778,0.00487680412941693,0.5274787238268501,0.2971836652992998,0.5890087485313416,5.908096280087528,1.1252121673896909
9,103.59570550918579,0.0,0.0,0.05457343486933249,0.031192333852931988,0.023381101032691864,0.0,0.0,0.0,0.0,0.0,0.0,3.242662635795571,3.2961433878938666,2.197115421295166,49.073401847642316,146.0195867369292,0.27764730523921205,0.3998288551265232,0.33589059114456177,16.2654996353027,0.019008596246619863,0.015052181018747841,0.015143606811761856,0.002295892708145686,0.004689353928020659,0.5360682463228572,0.29241965281588056,0.5964544415473938,5.543398978847557,1.106129514053464
10,103.61608409881592,0.0,0.0,0.053287652769172154,0.03039285152303408,0.022894801202694458,0.0,0.0,0.0,0.0,0.0,0.0,3.2049234835424185,3.2989926796077467,2.16983699798584,48.08121269364467,143.27251608148194,0.29737209869422326,0.3987951226658871,0.3635631799697876,14.22319474835886,0.018818767436146248,0.015010855482943375,0.015008421614766121,0.0022751659754016128,0.004756538224411831,0.5402204161747627,0.2943058816028644,0.6042541265487671,5.762217359591539,1.092422709800303
