epoch,seed,epoch_time_s,peak_vram_mb,alpha_e,alpha_p,train_loss,train_loss_edos,train_loss_phdos,train_loss_tv,train_loss_grad,train_loss_shape_e,train_loss_shape_p,train_loss_scale_e,train_loss_scale_p,train_loss_eta,train_loss_scalar,train_loss_gap,train_loss_sum,mae_edos_mean,mae_edos_std,mae_edos_median,mse_edos_mean,mse_edos_std,r2_edos_mean,r2_edos_std,r2_edos_median,fail_rate_edos,mae_phdos_mean,mae_phdos_std,mae_phdos_median,mse_phdos_mean,mse_phdos_std,r2_phdos_mean,r2_phdos_std,r2_phdos_median,fail_rate_phdos,balanced_score
1,42,198.23235726356506,7226.1552734375,0.0,0.0,1.227720126738915,0.5794904300799737,0.6350955412428603,0.0,0.0,0.0,0.0,0.0,0.0,0.01313415764966327,0.0,0.0,0.0,2.7065247670299195,2.7707075222470334,1.8568321466445923,37.895296889726495,132.3932888235783,0.23507092213455444,0.2922497283214925,0.2594517469406128,13.575443147427583,0.013613387401785679,0.01295075798513534,0.009786989539861679,0.001242927761131776,0.003237904560272361,0.5598787244037277,0.25984052185882817,0.6023130416870117,2.7669693039342844,0.933309568092227
2,42,196.0417001247406,7227.89013671875,0.0,0.0,0.9695606168518719,0.4733073943700546,0.48606762763781425,0.0,0.0,0.0,0.0,0.0,0.0,0.010185595067679628,0.0,0.0,0.0,2.525629729702521,2.6192179181613193,1.718446135520935,35.20456881132629,119.8915205935775,0.28090398632701835,0.3713259931787603,0.32440149784088135,10.28966709900562,0.012621964446696386,0.012070059717477386,0.008997371420264244,0.0011603126089167358,0.003100650485732918,0.5849301817352206,0.2645748676253947,0.63679039478302,3.24254215304799,0.8637217534705997
3,42,196.19638442993164,7227.59521484375,0.0,0.0,0.8860955622461107,0.424736868774789,0.452117646810336,0.0,0.0,0.0,0.0,0.0,0.0,0.009241049083220399,0.0,0.0,0.0,2.5255341442713375,2.698979144281492,1.675515055656433,33.99063594796978,111.79909231189296,0.32884619988974584,0.34458141749855303,0.35946887731552124,5.923043666234327,0.012402640395828793,0.012149940432875995,0.008971648290753365,0.0011052794327406465,0.0032332921889066404,0.5986635419799815,0.25963585553749247,0.6469396352767944,2.810203199308258,0.8422433519735932
4,42,196.18528199195862,7226.3896484375,0.0,0.0,0.8360472306227072,0.396837854028767,0.4305174617176382,0.0,0.0,0.0,0.0,0.0,0.0,0.008691916009411216,0.0,0.0,0.0,2.397888996966515,2.5441238406995854,1.5998525619506836,32.231686174611035,109.8619197028285,0.3488202539296363,0.36452911487707385,0.3889005184173584,5.966277561608301,0.012749997638926954,0.012514297959772708,0.009123729541897774,0.0011351267183096225,0.003445426458483118,0.6086140859194045,0.23759395081652404,0.655493974685669,1.9887591872027668,0.8044881457462907
5,42,196.20490217208862,7227.4208984375,0.0,0.0,0.8068006792639055,0.38202370035852123,0.4165306058194902,0.0,0.0,0.0,0.0,0.0,0.0,0.008246371514983794,0.0,0.0,0.0,2.3547270585816245,2.5200992489711314,1.5754966735839844,31.39226481495719,106.54765576560202,0.3652701498211796,0.3729022324791973,0.3999391794204712,5.058365758754864,0.012066373587010201,0.012240878713304008,0.008562561124563217,0.0011339063874230319,0.0038297438341714316,0.6098553850905389,0.26233366784255246,0.6640299558639526,2.853437094682231,0.7920296173542738
6,42,196.17843294143677,7228.02001953125,0.0,0.0,0.7821086855016203,0.367890550998541,0.40617664446178664,0.0,0.0,0.0,0.0,0.0,0.0,0.008041489806471982,0.0,0.0,0.0,2.314120886413323,2.4837229444859372,1.5397015810012817,30.793933005382616,104.79448165361015,0.365470320308461,0.46653107742789746,0.4115775227546692,5.188067444876784,0.011965126800033761,0.011841249104546115,0.008597560226917267,0.0010564900055652366,0.0033946675378828694,0.6236268560761659,0.25432808510418203,0.6776623725891113,2.680501513186338,0.7741495706140995
7,42,196.34769368171692,7226.2333984375,0.0,0.0,0.7507056928088522,0.35354135477135323,0.3894157625671126,0.0,0.0,0.0,0.0,0.0,0.0,0.007748575833761412,0.0,0.0,0.0,2.2700807892311152,2.4462700249019447,1.49631667137146,30.581379532098925,110.81980509720236,0.3786979003020607,0.4348863407081787,0.4253666400909424,5.620406398616516,0.011893849328442743,0.011871351758405877,0.008558346889913082,0.0010716079969887895,0.0034254946499001466,0.6314985570946763,0.24784890811724933,0.6837223768234253,2.1616947686986596,0.7524375091306865
8,42,196.38174533843994,7227.9072265625,0.0,0.0,0.7258177890227391,0.3429379059972926,0.3753180138830446,0.0,0.0,0.0,0.0,0.0,0.0,0.007561870354315282,0.0,0.0,0.0,2.265208898328802,2.4644010275274706,1.5132256746292114,30.968061787467263,127.28270060353486,0.39250139529396844,0.38626385155887283,0.4297366738319397,4.9286640726329445,0.011664654825059307,0.011572566589013272,0.008361030369997025,0.0010304462418669709,0.003113712579926882,0.6358170765744006,0.2594418717888464,0.6912438273429871,2.1616947686986596,0.7607933524996042
9,42,196.3359580039978,7224.955078125,0.0,0.0,0.7006859513938937,0.3313920637481233,0.36194290169793314,0.0,0.0,0.0,0.0,0.0,0.0,0.007350988222015464,0.0,0.0,0.0,2.2303815928891373,2.429758935746657,1.4873212575912476,29.702493492580736,105.08314555160337,0.403207582773917,0.327391758365142,0.44287365674972534,5.101599654128837,0.01163880825579755,0.011791313102899697,0.008221790194511414,0.0010767733810687463,0.0035092078621532384,0.62838753827248,0.26914982123023656,0.6860756278038025,2.3778642455685257,0.7477715238928795
10,42,196.1361849308014,7226.03955078125,0.0,0.0,0.6809824514592815,0.3228255207722004,0.35095999750316653,0.0,0.0,0.0,0.0,0.0,0.0,0.007196934000612834,0.0,0.0,0.0,2.3119325499113534,2.562237419574455,1.5027132034301758,31.002305293327677,109.80860929975769,0.3807019026208326,0.39318063140945897,0.43905824422836304,6.398616515348032,0.011526666951562663,0.011639776247863437,0.008041733875870705,0.0010336512574721003,0.0032188372608530523,0.6349637011042726,0.3066513265155375,0.6958922743797302,2.248162559446606,0.7553774686530232
