epoch,seed,epoch_time_s,peak_vram_mb,alpha_e,alpha_p,train_loss,train_loss_edos,train_loss_phdos,train_loss_tv,train_loss_grad,train_loss_shape_e,train_loss_shape_p,train_loss_scale_e,train_loss_scale_p,train_loss_eta,train_loss_gap,train_loss_sum,mae_edos_mean,mae_edos_std,mae_edos_median,mse_edos_mean,mse_edos_std,r2_edos_mean,r2_edos_std,r2_edos_median,fail_rate_edos,mae_phdos_mean,mae_phdos_std,mae_phdos_median,mse_phdos_mean,mse_phdos_std,r2_phdos_mean,r2_phdos_std,r2_phdos_median,fail_rate_phdos,balanced_score
1,42,204.95024871826172,7141.30908203125,0.0,0.0,1.2992943290508154,0.6317743909035763,0.6450404192557175,0.0,0.0,0.0,0.0,0.0,0.0,0.022479518061203723,0.0,0.0,2.6706019498612377,2.725761363219092,1.8231709003448486,37.59935946403042,130.7976716279958,0.1635939022875814,0.3918799966133196,0.2139769196510315,21.11425111021397,0.016652164022939422,0.018999438686365066,0.010878430679440498,0.002182811216744691,0.007991397526495348,0.5456291943920877,0.26121931194730597,0.5899678468704224,2.866370609608397,0.9170246655121446
2,42,202.6455318927765,7141.30908203125,0.0,0.0,1.023702926612927,0.5159540040451184,0.49012220813707114,0.0,0.0,0.0,0.0,0.0,0.0,0.01762671517861778,0.0,0.0,2.4946774779595238,2.6182147385674566,1.688978910446167,33.81914354045894,121.63716492144614,0.2697135120040715,0.3233325074574737,0.30100077390670776,10.536939846588615,0.015479033506661691,0.017943478606476927,0.010206435807049274,0.0019566802967440843,0.006885355274461382,0.5748791096188341,0.27209500702084244,0.6304627656936646,3.310456197012515,0.8495926731266081
3,42,202.91834092140198,7140.62158203125,0.0,0.0,0.933539422124957,0.46271987304543005,0.4543231297432901,0.0,0.0,0.0,0.0,0.0,0.0,0.016496420837938786,0.0,0.0,2.368799283351564,2.5245590731903422,1.5784409046173096,31.771727909566458,107.79379098480787,0.28658194167988404,0.4286098786256876,0.3467358946800232,10.4158255954784,0.01509488595395432,0.017975204438301744,0.00993402674794197,0.0018799935693022652,0.008358442461967697,0.5961426458726451,0.2617651253584755,0.6503727436065674,2.825999192571659,0.7941874656826258
4,42,202.9232382774353,7139.40283203125,0.0,0.0,0.8772701951875641,0.4304200435559335,0.43104806732523004,0.0,0.0,0.0,0.0,0.0,0.0,0.015802082004087965,0.0,0.0,2.328296285745269,2.492635645767095,1.5515539646148682,30.500810478244794,105.30664362145556,0.33648869475867893,0.3363164734129546,0.3715282082557678,5.894226887363747,0.01483920782749125,0.01757889512623197,0.009547961875796318,0.001789950124277834,0.007112365916812069,0.6115664879448913,0.24516439039046317,0.6617614030838013,1.9781994348001615,0.7805509632453322
5,42,202.83031702041626,7140.93408203125,0.0,0.0,0.8432144792646502,0.41189129524634027,0.4159443358009892,0.0,0.0,0.0,0.0,0.0,0.0,0.015378846938423278,0.0,0.0,2.327006816411324,2.5082761609227746,1.5465610027313232,30.741945976219608,106.66759861933723,0.3293999054280798,0.31415170318441016,0.363441526889801,7.347597900686314,0.014426304914699631,0.01735282681726621,0.009288622997701168,0.001796321055953518,0.007423571190228647,0.6092979924111872,0.28553153846041035,0.6662636995315552,3.0278562777553493,0.7779248128645122
6,42,202.7674434185028,7142.87158203125,0.0,0.0,0.8169967518849046,0.3989825981893418,0.402952382961909,0.0,0.0,0.0,0.0,0.0,0.0,0.015061770890359625,0.0,0.0,2.2679530811309214,2.4636103642817333,1.5012056827545166,29.392438797740166,101.77852128463374,0.3662429335235731,0.3079979600259069,0.3949330449104309,5.167541380702462,0.014416593948651187,0.017789476483795873,0.009201060980558395,0.0018049449784570668,0.009449902879744648,0.6177432961795039,0.25463597848327757,0.672968864440918,2.7048849414614455,0.7552033718675375
7,42,202.8748698234558,7140.02783203125,0.0,0.0,0.7873344921419305,0.384404827913409,0.3882168285204083,0.0,0.0,0.0,0.0,0.0,0.0,0.014712835925718861,0.0,0.0,2.2149332156762043,2.392593331859127,1.4582674503326416,28.97435675536716,100.12593482687488,0.3723929565569832,0.36064787260168163,0.4098404049873352,5.167541380702462,0.014223262748422894,0.017274108948606107,0.00913637038320303,0.0017371154256940829,0.007972713871103798,0.6269542819365023,0.26028325964792276,0.6838093996047974,2.3415421881308034,0.7337019103579223
8,42,202.7375147342682,7142.96533203125,0.0,0.0,0.7609872570828767,0.37294824884839034,0.3736721673650605,0.0,0.0,0.0,0.0,0.0,0.0,0.014366840255228384,0.0,0.0,2.175681786526703,2.355630115417591,1.4344950914382935,28.74805207459875,101.99339352901319,0.3707459806000267,0.34841750468073074,0.4151443839073181,6.943883730318934,0.014031398980433688,0.017561254273896994,0.008942840620875359,0.0017009083188650788,0.008720200079766885,0.6377421382650715,0.26526427716172685,0.6952878832817078,2.058942268873637,0.7217189660295844
9,42,202.70645308494568,7143.12158203125,0.0,0.0,0.7380087712164701,0.3623431661720291,0.36150976604346835,0.0,0.0,0.0,0.0,0.0,0.0,0.014155840031071856,0.0,0.0,2.18124189419047,2.383258589338272,1.4595615863800049,28.585435074866904,108.91387668237284,0.3735445515253778,0.367002047321555,0.41393643617630005,5.974969721437223,0.013768104257957494,0.01741550579335291,0.008819160051643848,0.0016910527517364424,0.010061797269124014,0.6466609429677841,0.2504573551682339,0.6986565589904785,1.9378280177634235,0.7341903732158244
10,42,202.7063343524933,7142.55908203125,0.0,0.0,0.718099774926473,0.35442636598145183,0.34973854527614145,0.0,0.0,0.0,0.0,0.0,0.0,0.013934863869403824,0.0,0.0,2.161162141282645,2.3753756673460833,1.4217935800552368,28.26228925858512,98.82739804675128,0.39387116340268363,0.3367080942643533,0.4397282600402832,5.692369802180056,0.01360245907274919,0.017303952393506544,0.008652877993881702,0.0017481159420712153,0.010078234129324177,0.6383775923586104,0.30146840986970935,0.7042410373687744,2.3819136051675414,0.7152232290245593
11,42,202.67073464393616,7143.68408203125,0.0,0.0,0.6982226139335541,0.34612123592143235,0.3382702675637636,0.0,0.0,0.0,0.0,0.0,0.0,0.01383111020178791,0.0,0.0,2.1079064177933495,2.317576778373766,1.3801567554473877,27.56194850282975,108.439511565217,0.40138018306917755,0.3885991566519943,0.4458577036857605,5.167541380702462,0.013485643059160217,0.01723501154062598,0.00856861099600792,0.0016580709926608966,0.008797023955489489,0.6537193255314772,0.2556174082562391,0.708476722240448,1.8974566007266855,0.6943626832216978
12,42,202.6369161605835,7142.40283203125,0.0,0.0,0.6811332778211986,0.3386572589904688,0.3288560580741466,0.0,0.0,0.0,0.0,0.0,0.0,0.013619961609181604,0.0,0.0,2.1227282602287345,2.3571131955685862,1.3898539543151855,27.91528825434812,106.49916926300466,0.4015992481380304,0.37927695041533055,0.4469825029373169,5.0464271295922485,0.013403520465423915,0.017051347045187255,0.008484753780066967,0.0016647441125170912,0.009153552894655257,0.6479131350076435,0.34915123394763464,0.7067795991897583,1.7763423496164714,0.6991693540476263
13,42,202.67319798469543,7144.09033203125,0.0,0.0,0.6655928049551433,0.33278310874052214,0.31927704699396897,0.0,0.0,0.0,0.0,0.0,0.0,0.013532649622814199,0.0,0.0,2.0934913403470765,2.3167905480409137,1.369970440864563,27.41720612154089,104.02053557478581,0.4109371263363884,0.36437986904994774,0.4618319869041443,4.844570044408559,0.013208725118176237,0.016637658545250872,0.008507252670824528,0.0016104520192059674,0.008873828372296135,0.6538036894451769,0.30384422967241453,0.7176722288131714,2.3415421881308034,0.6892388467676938
14,42,202.65423321723938,7142.05908203125,0.0,0.0,0.6492590567712008,0.3256015622872485,0.3103197084374405,0.0,0.0,0.0,0.0,0.0,0.0,0.013337785392209436,0.0,0.0,2.0871660680775928,2.291116445781556,1.3816938400268555,27.1895607813741,99.27039008299325,0.40682238102151735,0.3999584317526084,0.4611824154853821,5.571255551069843,0.013110161118205038,0.0166721453903531,0.008377349004149437,0.0016135228596287255,0.008982784319750272,0.6516939769312889,0.340965655644713,0.7197308540344238,2.3819136051675414,0.6950355945155025
15,42,202.68932485580444,7142.46533203125,0.0,0.0,0.634562920440327,0.3198316234625888,0.30156445878734617,0.0,0.0,0.0,0.0,0.0,0.0,0.01316683789703288,0.0,0.0,2.06639013334817,2.283948208074218,1.3635907173156738,27.21978381938011,103.30342843428446,0.4124938832399679,0.39792907914833553,0.4664841890335083,5.2079127977392,0.013061051692207918,0.01663334105047007,0.008299760520458221,0.0015728157425953313,0.008178575410421702,0.6549684073254135,0.36095579904968306,0.7191663980484009,2.3819136051675414,0.685945238918066
16,42,202.68292927742004,7145.46533203125,0.0,0.0,0.6216807908703836,0.3150618680688943,0.29364409721924356,0.0,0.0,0.0,0.0,0.0,0.0,0.012974825743407581,0.0,0.0,2.0901043586166734,2.341857490124745,1.3655023574829102,27.959319855011778,109.48964952842785,0.40926352825480505,0.44651332449148873,0.4637293219566345,5.127169963665724,0.012967683343897973,0.016709967361359195,0.00822807103395462,0.0016108797904898255,0.009694756931743329,0.6608451114434314,0.31817295226620085,0.7225750088691711,2.3011707710940654,0.6868652142584324
17,42,202.70865058898926,7140.96533203125,0.0,0.0,0.6073726493586004,0.3092685406953334,0.2851823534121354,0.0,0.0,0.0,0.0,0.0,0.0,0.012921754682237547,0.0,0.0,2.0409515027767426,2.2813034301818096,1.3447425365447998,26.941859886173408,104.0284183002961,0.417702694573516,0.4499332156483172,0.47627735137939453,5.450141299959629,0.012915417478112657,0.016097769406627518,0.008077263832092285,0.0015412776279338297,0.007103651889631052,0.6551471717616556,0.563943676199626,0.726421594619751,2.1396851029471136,0.676409900188446
18,42,202.80383133888245,7141.37158203125,0.0,0.0,0.5923376951301307,0.3035601312368871,0.2760291505943645,0.0,0.0,0.0,0.0,0.0,0.0,0.01274841360374988,0.0,0.0,2.056372996615934,2.2913585555992952,1.3507776260375977,27.04035774796991,102.50854068077486,0.41971027584002774,0.41759898477515073,0.47556281089782715,4.925312878482035,0.012747425576244741,0.016076896810124978,0.007906305603682995,0.0015457247440109829,0.007603710948092326,0.6687390959017403,0.27997024789316427,0.728924572467804,2.018570851836899,0.6793419658206403
19,42,202.717218875885,7142.05908203125,0.0,0.0,0.5803674695689522,0.2992041388339403,0.2684796248849309,0.0,0.0,0.0,0.0,0.0,0.0,0.01268370630200269,0.0,0.0,2.0309127125968773,2.261825566043882,1.3440018892288208,26.92844543812183,108.58217646899905,0.42092240386111246,0.4071744931135873,0.4774169325828552,5.288655631812677,0.012653145894580617,0.016183782578218106,0.007763692643493414,0.0015624765809331813,0.007477582500387598,0.656841435185064,0.5081969943981941,0.7275524139404297,2.5433992733144932,0.6758827909361571
20,42,202.72267627716064,7137.96533203125,0.0,0.0,0.5669849667537725,0.29482844355479004,0.2595763614540845,0.0,0.0,0.0,0.0,0.0,0.0,0.01258016337842593,0.0,0.0,2.0324667789851123,2.2649684103571235,1.3503623008728027,26.73581231387241,99.03163753052397,0.4249596883560507,0.41746436010920446,0.48317062854766846,5.0060557125555105,0.012714192963497233,0.016215331872046813,0.007885673083364964,0.001520101275214399,0.007827640437082645,0.6608127434262355,0.6348934987776795,0.7383395433425903,2.018570851836899,0.6791239869780838
